البلد,النقرات,عدد الظهور,نسبة النقر إلى الظهور,موضع
المملكة العربية السعودية,412,8845,4.66%,12.27
مصر,16,914,1.75%,8.42
اليمن,7,274,2.55%,6.61
الأردن,5,287,1.74%,6.72
الكويت,4,159,2.52%,9.58
قطر,3,100,3%,7.95
سوريا,2,257,0.78%,5.46
الإمارات العربية المتحدة,2,210,0.95%,10
عُمان,2,146,1.37%,8.33
العراق,2,127,1.57%,6.29
تونس,2,61,3.28%,5.7
هولندا,2,57,3.51%,6.4
الولايات المتحدة,1,349,0.29%,6.11
الجزائر,1,88,1.14%,7.45
ألمانيا,1,87,1.15%,7.24
المغرب,1,67,1.49%,7.07
فلسطين,1,56,1.79%,5.61
المملكة المتحدة,1,40,2.5%,6.72
أوغندا,1,3,33.33%,1.33
ليبيا,0,85,0%,6.02
تركيا,0,78,0%,6.38
السودان,0,66,0%,4.5
إسرائيل,0,50,0%,8.34
فرنسا,0,49,0%,6.8
لبنان,0,46,0%,5.09
البحرين,0,36,0%,9.31
الهند,0,31,0%,8.65
كندا,0,21,0%,8.29
النمسا,0,20,0%,7.5
أسبانيا,0,19,0%,8
الصين,0,15,0%,13.73
السويد,0,14,0%,7.29
إندونيسيا,0,11,0%,7.91
بلجيكا,0,11,0%,9.55
البرازيل,0,10,0%,3.3
إيطاليا,0,10,0%,7.8
أوكرانيا,0,9,0%,10.11
ماليزيا,0,8,0%,16
الصومال,0,7,0%,6.57
المكسيك,0,6,0%,5.17
سويسرا,0,6,0%,5.33
فيتنام,0,6,0%,9.67
إيران,0,5,0%,4.4
موريتانيا,0,5,0%,5
تشاد,0,5,0%,5.6
اليابان,0,5,0%,6.8
النرويج,0,4,0%,5
بولندا,0,4,0%,7
الأرجنتين,0,4,0%,7.75
تايلاند,0,4,0%,9.25
الدنمارك,0,4,0%,9.75
روسيا,0,4,0%,11.25
كينيا,0,3,0%,2.67
فنلندا,0,3,0%,3.33
بلغاريا,0,3,0%,4.67
التشيك,0,3,0%,6
إثيوبيا,0,3,0%,6.33
باكستان,0,3,0%,6.33
كوريا الجنوبية,0,3,0%,9.33
سلوفاكيا,0,3,0%,9.33
الفلبين,0,3,0%,11
سنغافورة,0,2,0%,3
البوسنة والهرسك,0,2,0%,4
الإكوادور,0,2,0%,4
غينيا,0,2,0%,5
نيبال,0,2,0%,5
البرتغال,0,2,0%,5
بيلاروسيا,0,2,0%,5.5
كرواتيا,0,2,0%,5.5
بنغلاديش,0,2,0%,9
قبرص,0,2,0%,9.5
جورجيا,0,2,0%,9.5
منغوليا,0,2,0%,13.5
المجر,0,2,0%,19.5
كولومبيا,0,1,0%,1
كوستاريكا,0,1,0%,2
الصحراء الغربية,0,1,0%,2
بيرو,0,1,0%,2
سريلانكا,0,1,0%,5
زيمبابوي,0,1,0%,6
مولدوفا,0,1,0%,7
جنوب السودان,0,1,0%,8
بوركينا فاسو,0,1,0%,9
غامبيا,0,1,0%,9
نيجيريا,0,1,0%,9
جنوب أفريقيا,0,1,0%,9
بوتان,0,1,0%,10
لوكسمبورج,0,1,0%,10
السنغال,0,1,0%,10
الأذربيجانية,0,1,0%,11
الجابون,0,1,0%,11
هونج كونج,0,1,0%,11
كازاخستان,0,1,0%,11
كمبوديا,0,1,0%,11
قرغيزستان,0,1,0%,12
نيوزيلندا,0,1,0%,12
ألبانيا,0,1,0%,13
أستراليا,0,1,0%,15
أفغانستان,0,1,0%,17
جمهورية الدومينكان,0,1,0%,18
